Job Title,Hourly/Fixed,Budget,Level,Skills
Developer,Fixed price,"Est. budget:
$3,000.00",Intermediate,API
Shopify Store Development for Cosmetics Line,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, Ecommerce Website Development, Shopify, Shopify Templates, Web Design"
Senior C# Developer with Angular Experience,Hourly: $50.00 - $80.00,N/A,Expert,"C#, Angular, ASP.NET, RESTful API, Blazor"
Angular/Express Developer Needed for Bug Fixes,Hourly: $30.00 - $70.00,N/A,Intermediate,"Angular, ExpressJS, Bug Fix"
Outsystems Complex API Connectivity,Hourly: $10.00 - $30.00,N/A,Expert,"API, FHIR"
Code Review for Massage Service Platform,Hourly: $20.00 - $80.00,N/A,Intermediate,"Web Development, JavaScript, PHP, HTML, WordPress"
React Web Application Developer,Hourly: $5.00 - $19.00,N/A,Intermediate,"React, JavaScript, Web Application, CSS, HTML"
Node js Developer to Bridge CRM to other Services,Hourly: $15.00 - $35.00,N/A,Intermediate,"Shopify Development, API Development, Node.js, RESTful API, Pipedrive, API, API Integration"
World Map Development with Hover Functionality,Hourly: $10.00 - $30.00,N/A,Intermediate,"Web Development, JavaScript, HTML, CSS, Web Design, React"
RPA Developer Needed: Cloud-Based RPA for Student Manager Integration (No API Available),Hourly: $20.00 - $40.00,N/A,Intermediate,"Make.com, Automation, Python, Robotic Process Automation"
".NET C# Support Developer for Web App Development (Strong Exp. HTML/JS/Bootstrap, MVC/API)",Hourly: $12.00 - $18.00,N/A,Intermediate,"Web Development, JavaScript, C#, .NET Framework, API, HTML"
Frontend Developer Needed for ReactJS Dashboard Implementation,Fixed price,"Est. budget:
$1,000.00",Intermediate,"React, JavaScript, CSS"
Customized payment System for a website,Fixed price,"Est. budget:
$40.00",Intermediate,"Web Development, Ecommerce Website Development, App Development, PHP, JavaScript, Web Design, +4"
Maintenance and development of WordPress sites,Hourly: $15.00 - $30.00,N/A,Intermediate,"WordPress, CSS, PHP, HTML, WooCommerce, Website, JavaScript"
Odoo Custom development,Hourly,N/A,Intermediate,"Web Development, Front-End Development, PostgreSQL, HTML, Bootstrap, jQuery, Odoo, JavaScript, +7"
Shopify frontend adjustments,Hourly: $5.00 - $15.00,N/A,Intermediate,"Shopify Templates, Shopify, Shopify SEO, Website, Website Redesign, Digital Marketing, +9"
AI-Powered Financial Reporting Software Development,Hourly: $10.00 - $30.00,N/A,Expert,"Node.js, Python, Artificial Intelligence, API, JavaScript, Machine Learning, API Integration"
Website creation on Framer,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Web Design, Graphic Design, Visual Communication"
Senior Node.js Backend Developer for CEX Development,Hourly: $15.00 - $50.00,N/A,Expert,"Node.js, RESTful API, JavaScript, AWS Application, Cybersecurity Tool"
Webflow Developer Needed: Website Update from Figma Designs,Fixed price,"Est. budget:
$500.00",Intermediate,Webflow
WooCommerce Pro Needed for Exciting Food Brand Website – Transform the Customer Experience! 🚀,Fixed price,"Est. budget:
$500.00",Expert,"Ecommerce Development Consultation, Web Development, SQLite, Landing Page, Design Enhancement, +5"
Simple Feature Updates for Existing Game Unity Androind game,Fixed price,"Est. budget:
$30.00",Entry Level,"Game Development, Unity, Android"
Looking for a creative android expert,Hourly,N/A,Intermediate,"Android App Development, Android, Java, Kotlin, Android SDK, User Experience Design, Mobile UI Design, +2"
Development of AI-Powered OSINT Tool,Hourly: $25.00 - $47.00,N/A,Expert,
iOS Swift Developer at Bee Techy: Build Apps That Buzz!,Hourly: $20.00 - $25.00,N/A,Intermediate,"iOS Development, Mobile App Development, Apple Xcode, Core Data, SwiftUI, RESTful API, +3"
Senior Full Stack Developer (TypeScript) to Join Bee Techy as Team Lead,Hourly: $30.00 - $35.00,N/A,Intermediate,"Full-Stack Development, TypeScript, Node.js, React, JavaScript"
Web Developer Needed for Custom Inventory Sync Web App Development,Fixed price,"Est. budget:
$350.00",Expert,"Web Development, API, Shopify, API Integration, Web Application"
Experienced FileMaker Developer Needed for Book Publishing Business Upgrade,Hourly: $15.00 - $35.00,N/A,Intermediate,Claris FileMaker
Dating Mobile App,Fixed price,"Est. budget:
$250.00",Expert,"Mobile App Development, Android, iOS, Location-Based Service"
Fullstack Developer Needed for Next.js and FastAPI Project,Hourly: $15.00 - $35.00,N/A,Intermediate,"TypeScript, Next.js, Tailwind CSS, FastAPI"
Fullstack developer,Hourly: $15.00 - $35.00,N/A,Intermediate,"Facebook Development, Chatbot Development, API Development, Web Development, Facebook Graph API, +10"
"Shopify Diagnostic, Audit and Bug Fixes",Hourly,N/A,Expert,"Shopify Development, Web Development, Shopify, Ecommerce Website, Shopify Theme, Shopify Marketing, +1"
Web App Designer for Cameroon Community of Amputated Peoples,Fixed price,"Est. budget:
$194.65",Intermediate,"Web Development, Graphic Design, Web Design, Adobe Photoshop, Mockup"
Wordpress not updating plugins or themes,Fixed price,"Est. budget:
$30.00",Entry Level,"WordPress, WordPress Plugin, cPanel"
Public Transport Mobile Application,Hourly,N/A,Expert,"Hybrid App Development, Mobile App Development, iOS Development, Android App Development, Smartphone, +5"
Help with Puppeteer script (Node.js),Fixed price,"Est. budget:
$40.00",Entry Level,"JavaScript, Node.js"
iOS App Submission Assistance for Apple Review,Hourly: $15.00 - $30.00,N/A,Expert,"iOS Development, iOS, Swift, Objective-C"
Mobile App Development iOS,Fixed price,"Est. budget:
$50.00",Intermediate,"Hybrid App Development, iOS Development, Mobile App Development, iPadOS, React Native, iOS, Swift, +1"
Implement Webflow Website based on Figma Designs for a SpaceTech startup,Hourly,N/A,Intermediate,"Web Development, Webflow, Figma, JavaScript, Website, HTML, CSS, Responsive Design, +2"
Web App Development on Bubble for Mining Industry,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, JavaScript, Web Design, Prototyping, API"
MacOS App Notarisation Assistance Needed,Hourly: $20.00 - $40.00,N/A,Expert,"Mac OS App Development, macOS, Swift, Apple Xcode"
Rent a Car Website,Hourly: $10.00 - $40.00,N/A,Expert,"Web Development, Web Design, PHP, HTML, CSS, JavaScript, Data Entry, HTML5"
Creative WordPress Developer Needed for Web Design and Speed Optimization,Hourly: $5.00 - $10.00,N/A,Intermediate,"Web Development, WordPress, Web Design, CSS, HTML"
Front-End Developer for an Expert Shopify Agency Needed for Ongoing Work (For US Timezone),Hourly: $25.00 - $45.00,N/A,Expert,"Shopify, Shopify Theme, HTML, CSS, JavaScript"
"MLOps Engineer for Centralized System Development (MLflow, Kubernetes, Pachyderm)",Hourly: $20.00 - $40.00,N/A,Expert,"Research & Development, Kubernetes, Amazon Web Services, DevOps, Python, CI/CD, Bitbucket, +2"
Website development,Hourly: $25.00 - $40.00,N/A,Expert,"Web Development, WordPress, PHP, JavaScript, HTML"
Airtable Functionality Migration to MiniExtensions Form,Hourly: $20.00 - $60.00,N/A,Intermediate,Airtable
Fullstack Developer needed for building a tool in MERN stack,Fixed price,"Est. budget:
$500.00",Expert,"Web Development, Node.js, React, JavaScript, MongoDB, API Integration, Web Application, +3"
Web Developer Needed to Build a Website from Figma Designs,Fixed price,"Est. budget:
$6,000.00",Expert,"Node.js, React, Django, Next.js, PostgreSQL, Strapi"
Senior Golang Developer (Only Individual),Hourly: $20.00 - $30.00,N/A,Expert,"PostgreSQL, Golang, API"
Build a Modern Web Application for Flooring Company: Customer Management & Interactive Checklist,Fixed price,"Est. budget:
$900.00",Intermediate,"React, Redux, Node.js"
"UI Enhancement, Subdomain and Subscription Setup for MicroSaaS",Fixed price,"Est. budget:
$500.00",Intermediate,"CSS, PHP, DevOps, In-App Subscription"
Website Development for Instant Camera Reviews and Sales,Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, WordPress, Web Design, Business with 1-9 Employees, HTML"
Modify WordPress plug-in for UTM data sources and extend with new traffic sources,Hourly,N/A,Intermediate,"Web Development, WordPress, PHP, JavaScript"
Seeking Expert Developer for Comprehensive Travel Booking Platform (B2C and B2B),Hourly,N/A,Expert,Web Development
Mobile App Development Needed,Fixed price,"Est. budget:
$700.00",Intermediate,"Mobile App Development, Android, Smartphone, iOS, User Profile Creation"
WooCommerce and WP All Import Specialist – Automating Product Variation Price Updates,Hourly,N/A,Intermediate,"Web Development, WooCommerce, WordPress, PHP, JavaScript"
Personal Digital Consultant Needed for Comprehensive Online Strategy,Hourly: $15.00 - $20.00,N/A,Intermediate,Website Builders & CMS Consultation
NinjaTrader 8 Programmer Needed for Divergence Trading Algorithm,Hourly,N/A,Intermediate,"Algorithm Development, C#, NinjaTrader, C++, Python"
WordPress Website Development for EnrollMedicare.com,Hourly: $15.00 - $40.00,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, WooCommerce"
Need today: UI/UX Designer Needed for E-Commerce Search Results Page,Hourly,N/A,Intermediate,"Web Development, Web Design, Mockup, WordPress, Responsive Design"
Web designer / developer to turn mockup into converting site,Fixed price,"Est. budget:
$2,500.00",Expert,"WordPress Landing Page, Landing Page Optimization, Web Design, User Flow, Landing Page, +2"
React/TypeScript Developer with Bolt.new Experience Needed,Hourly: $10.00 - $20.00,N/A,Intermediate,"React, JavaScript, TypeScript, CSS, HTML"
Multiple pages in Shopify,Hourly,N/A,Entry Level,"Shopify, Shopify Theme"
Full Stack Developer (PHP/React),Hourly,N/A,Intermediate,"MySQL, PHP, API, React, HTML, CSS, Bootstrap, JavaScript"
Educational Application Development,Hourly: $15.00 - $30.00,N/A,Intermediate,"Smartphone, iOS, Android, User Profile Creation, JavaScript"
iCloud activation lock,Fixed price,"Est. budget:
$10.00",Intermediate,"iOS Development, iOS, Apple Xcode"
Development of an AI-Powered Content Generator MVP,Fixed price,"Est. budget:
$50.00",Intermediate,"Python, Artificial Intelligence, Machine Learning, JavaScript, Internet of Things"
POS Product Variations Management and POS Interface Modification (Shopify-like),Fixed price,"Est. budget:
$500.00",Expert,"Web Development, React, Laravel, PHP, JavaScript, Ecommerce"
Integration of Wishlist member plugin in WP article-based website,Hourly,N/A,Expert,WordPress Plugin
Looking for Mobile app Developer ( Bluetooth & Ionic ),Hourly: $15.00 - $40.00,N/A,Expert,"Mobile App Development, Android, iOS, Smartphone, Ionic Framework"
Website Development for General Contractor Company,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, JavaScript"
VR Simulation Insurance Company,Hourly,N/A,Intermediate,"AR & VR Development, ARKit, ARCore, C#, Unity, Augmented Reality, Virtual Reality, AR Application, +7"
Looking for Front-End Developer [React&Next.js],Hourly: $25.00 - $40.00,N/A,Expert,"Web Development, React, JavaScript, CSS, Redux, TypeScript, HTML, Next.js, CSS 3, HTML5"
CMS Development Expert Needed for WordPress and Shopify-like Platform,Hourly: $200.00 - $300.00,N/A,Expert,"Web Development, CSS, PHP, JavaScript, HTML"
Website Improvement and Supabase Integration Check,Hourly: $15.00 - $35.00,N/A,Intermediate,"Web Development, WordPress, WooCommerce, PHP, Magento"
Looking for a Full Stack Developer to create an amazing new App idea,Hourly: $25.00 - $45.00,N/A,Expert,"Full-Stack Development, Web Development, AI Development, Database Development, Mobile App Development, +10"
Talented WordPress Developer Needed,Hourly: $20.00 - $28.00,N/A,Intermediate,"Web Development, WordPress, CSS, JavaScript, Web Design"
Webflow Localization Toggle Implementation,Hourly: $15.00 - $30.00,N/A,Intermediate,"HTML, Webflow, CSS, HTML5, JavaScript"
Build landing page for Luxury car rental,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Landing Page, Web Design"
Integration Developer for Librechat and AWS Bedrock Agents,Hourly: $15.00 - $35.00,N/A,Intermediate,"Amazon Web Services, API, Python, AWS Lambda, Amazon EC2"
Native android development,Fixed price,"Est. budget:
$90.00",Expert,"Smartphone, Tablet, Retrofit, Android Studio, Android, Kotlin, JetPack, Dagger 2, XML"
WordPress Developer Needed for Ongoing Projects,Hourly: $14.00 - $28.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, CSS, PHP"
Mobile App UI/UX Designer Needed for Storage Cleanup iOS App,Hourly: $15.00 - $30.00,N/A,Expert,"Mobile App Design, Android, iOS, Mobile UI Design, User Interface Design"
UX/UI Designer Needed for Streaming/Video Debating Platform,Hourly,N/A,Expert,"UX & UI, Prototyping, Web Design, User Experience Design, Responsive Design, User Interface Design, +2"
Webflow Blog,Hourly,N/A,Intermediate,"Web Development, CMS Development, Website, Webflow, HTML5, JavaScript, HTML, Adobe XD, +7"
WordPress Developer Needed for Ongoing Projects,Hourly: $14.00 - $28.00,N/A,Intermediate,"Web Development, WordPress, JavaScript, CSS, PHP"
Create a Stylish E-commerce Website for Korean Skincare Brand (Dutch Market),Fixed price,"Est. budget:
$1,500.00",Expert,"Web Design, Graphic Design, English, Content Writing, Social Media Marketing, Copywriting"
RSS/ATOM/JSON Feed Subscription Service Development,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Next.js, API, JSON, JavaScript, API Integration"
Build hightech responsive website from scratch or using wordpress.,Fixed price,"Est. budget:
$120.00",Intermediate,"Web Development, Responsive Design, CSS, WordPress, HTML5, Search Engine Optimization"
Personalized Clothing Recommendation for Users,Hourly,N/A,Intermediate,"AI Development, Computer Vision, Lead Generation, API"
Java Architect - FullStack,Hourly: $15.00 - $17.00,N/A,Intermediate,"React, Java, Spring Framework, AngularJS, Spring Boot, Apache Kafka, Software Architecture & Design, +2"
Crypto Project Development with Custom Coin,Hourly: $5.00 - $10.00,N/A,Expert,"Cryptocurrency, Blockchain, JavaScript, API, Ethereum"
Wordpress website update,Hourly,N/A,Intermediate,"Web Development, HTML5, JavaScript, CSS 3, HTML, Sass, WordPress, Yoast SEO, +7"
C# App to download teams meeting recordings,Hourly,N/A,Intermediate,"C#, API, Microsoft Teams"
Big-commerce expert,Hourly: $8.00 - $20.00,N/A,Expert,"BigCommerce, Python"
PHP Developer for WordPress Site,Hourly: $50.00 - $70.00,N/A,Expert,"Web Development, PHP, WordPress, CSS, MySQL, HTML, Ecommerce Website, WordPress Plugin"
Affiliate Network Development from Scratch,Fixed price,"Est. budget:
$10,000.00",Intermediate,"Web Development, SQL, CSS, HTML, JavaScript, PHP, WordPress, Affiliate Marketing"
iOS Users – No experience needed,Fixed price,"Est. budget:
$5.00",Intermediate,"iOS Development, Mobile App Design, iOS, Smartphone"
Backend improvements in small project (Go + Postgres + GraphQL),Hourly,N/A,Intermediate,"Golang, PostgreSQL, GraphQL, API"
Shopify Expert Needed for E-Commerce Management,Hourly: $12.00 - $27.00,N/A,Intermediate,"Ecommerce Website Development, Web Development, Shopify, Shopify Templates, Web Design"
AI Calling System Development for Lead Engagement,Hourly: $15.00 - $35.00,N/A,Intermediate,"Lead Generation, Sales, Cold Calling, Scheduling, Telemarketing"
"Connect Vercel Website to Claude AI Bot and Create Bot, MCPs",Hourly,N/A,Intermediate,"Bot Development, Chatbot Development, Vercel, Python, JavaScript, API, Node.js, Artificial Intelligence"
Healthcare Web Application,Hourly,N/A,Expert,"Full-Stack Development, AI App Development, Web Development, Python, AWS Lambda, PostgreSQL, +4"
Need A Web Developer For An Event Management Website,Fixed price,"Est. budget:
$70.00",Intermediate,"Full-Stack Development, Web Development, React, Django, PHP, Laravel, API Integration, +3"
Full Stack Developer - Bridging Frontend and Backend Systems,Hourly,N/A,Intermediate,"Web Development, Front-End Development, API Development, Database Development, Web Application, +10"
Skilled React/Next.js Developer for Dynamic Landing Page Project,Fixed price,"Est. budget:
$100.00",Expert,"Web Development, React, JavaScript, CSS, HTML, HTML5, Node.js, CSS 3, Web Design, TypeScript"
HTML Developer For Template Development,Hourly: $5.00 - $20.00,N/A,Expert,"Web Development, HTML, CSS, HTML5, JavaScript, Website, PHP"
I am looking for an Shopify expert to create a prof. and functional online store for bee products.,Hourly: $5.00 - $8.00,N/A,Expert,"Web Development, Ecommerce Website Development, Shopify, Web Design, WooCommerce, +2"
"Microsoft 365, SharePoint, and Power Apps Developer Needed",Hourly: $40.00 - $60.00,N/A,Expert,"Microsoft SharePoint Development, Microsoft PowerApps, Office 365, Microsoft SharePoint, +3"
WordPress Website Development with Elementor,Fixed price,"Est. budget:
$1,000.00",Intermediate,"Web Development, WordPress, Elementor, Web Design, CSS"
CRM Specialist for Real Estate Business Customization and Training,Hourly: $10.00 - $20.00,N/A,Intermediate,"Customer Relationship Management, Lead Generation, Sales, Data Entry, CRM Software"
Web Scraping Expert for Property Market Analysis Application,Hourly,N/A,Expert,"Web Application, Data Scraping"
Junior MERN stack full stack developer,Hourly: $6.00 - $8.00,N/A,Entry Level,"Node.js, React, MongoDB, ExpressJS, JavaScript"
Scrapy - django app,Hourly,N/A,Intermediate,"Scrapy, Django, PostgreSQL, Python, Data Scraping"
I need a web designer to design me a website a cool UI,Fixed price,"Est. budget:
$500.00",Intermediate,"Web Development, Web Design, Graphic Design, Mockup, Adobe Photoshop, Visual Communication, +4"
WordPress Developer Needed for Luxury Product Website,Hourly: $20.00 - $50.00,N/A,Intermediate,"Web Development, WordPress, Web Design, CSS, HTML"
Stripe Connect Integration,Hourly: $25.00 - $47.00,N/A,Expert,"Stripe, API, Payment Gateway Integration"
Full Stack Developer Needed to Complete Suspended Project,Hourly: $30.00 - $40.00,N/A,Intermediate,"Web Development, ExpressJS, Amazon Web Services, JavaScript, API Integration, Blockchain"
Flutter Developer Needed for Chat & Video Calling App Feature implementation,Hourly: $5.00 - $20.00,N/A,Expert,"Mobile App Development, Flutter, iOS, Android"
Need some support on location tracking services,Hourly: $20.00 - $40.00,N/A,Expert,Flutter
Backend Developer For Automation Bot(Appointment booking System).,Hourly: $30.00 - $50.00,N/A,Expert,"API, Python, PHP, Node.js"
Astrological API & Web UI,Fixed price,"Est. budget:
$500.00",Intermediate,"API Development, Web Development, AWS Lambda, Amazon Web Services, JavaScript, API, HTML, +3"
Senior Full Stack Developer for Quick Updates on a Scalable Application,Fixed price,"Est. budget:
$500.00",Expert,"JavaScript, React, API"
AI Tasking Opportunities for Indian Developers - No Experience Required,Fixed price,"Est. budget:
$30.00",Entry Level,"Artificial Intelligence, Data Entry, Adobe Illustrator, Graphic Design"
Shopify Gift Order Tagging Expert Needed,Hourly: $12.00 - $90.00,N/A,Intermediate,"Web Development, Shopify, Data Entry, Shopify Apps"
WordPress Middleware Integration Developer Needed,Hourly,N/A,Intermediate,"Web Development, JSON, XML, WordPress, PHP, API, JavaScript"
Join My Team: Expert Web Developers for Project-Based Work,Hourly,N/A,Expert,"Web Development, Responsive Design"
Web Developer Needed for Competition Website and App Development,Hourly,N/A,Intermediate,"Web Development, JavaScript, Web Design, PHP, WordPress"
Seeking Senior Web Designer/Developer with WordPress Experience,Fixed price,"Est. budget:
$2,000.00",Expert,"Web Development, User Flow, Website Redesign, Journey Mapping, Information Architecture, WordPress"
Splunk Integration with M-Files,Hourly,N/A,Intermediate,"Plugin Development, SQL, API Integration, Continuous Integration, Document Management System"
WordPress Developer Needed to Fix Urgent Bugs and Long-Term Collaboration,Hourly: $25.00 - $60.00,N/A,Expert,"WordPress, PHP"
UI Designer Needed for User Interface Development,Fixed price,"Est. budget:
$1,000.00",Intermediate,"Web Design, User Interface Design, Mockup, Wireframing, Responsive Design, WordPress"
Develop a Simple Desktop/Web Application for Database Configuration,Hourly: $15.00 - $25.00,N/A,Intermediate,"API, Python"
Mini Website Creation Needed,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, Graphic Design, Squarespace"
WordPress Pro Developer for Zoom Session.,Fixed price,"Est. budget:
$50.00",Expert,"WordPress, JavaScript, CSS, HTML, PHP"
Senior Front End Developer Needed - Vue3 & Typescript,Hourly,N/A,Expert,"Vue.js, TypeScript, JavaScript, CSS, HTML, React"
Design com Foco em Sustentabilidade Agrícola rega e fertilização em tomate industria e IA,Hourly: $10.00 - $50.00,N/A,Expert,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Illustration"
Mobile & Web UI/UX Designer,Hourly: $20.00 - $30.00,N/A,Expert,"UI/UX Prototyping, User Interface Design, Wireframing, Mockup, Mobile App Design, Web Design"
Crypto project - CG,Hourly: $10.00 - $47.00,N/A,Expert,"Blockchain, Crypto Asset, Crypto Wallet, Crypto Exchange Platform, Cryptocurrency Trading, NFT"
Shopware 6 Frontend Developer Needed,Hourly: $15.00 - $65.00,N/A,Intermediate,"JavaScript, HTML, CSS, HTML5, PHP"
Software Developer Needed for Exciting Projects,Hourly,N/A,Intermediate,"Web Development, JavaScript, HTML, CSS, API"
Developer for Zapier / Social Media Workflow Automation,Hourly: $50.00 - $70.00,N/A,Expert,"Web Application, Zapier, API, Automation, JavaScript, API Integration, Social Media Account Integration"
Frontend Developer - React.js,Hourly: $10.00 - $18.00,N/A,Intermediate,"Web Development, Website, JavaScript, HTML5, CSS, React, REST API, CSS 3"
No-Code AI Multi-Agent Solution for Candidate Registration and Compliance,Fixed price,"Est. budget:
$300.00",Intermediate,"Web Development, Python, JavaScript, HTML, PHP, Artificial Intelligence"
Java Expert Needed for Decompiling and Code Analysis,Fixed price,"Est. budget:
$150.00",Intermediate,"JavaScript, Reverse Engineering, Java"
WordPress Expert,Hourly: $5.00 - $8.00,N/A,Intermediate,WordPress
"Experienced Web Developer Needed for Tailwind/HTML/CSS, Next.js, and Python Development",Hourly: $15.00 - $45.00,N/A,Expert,"CSS, HTML, JavaScript, HTML5, CSS 3, Python, Contentful"
UI Enhancement and Bug Fixes Using Framer,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Framer, Web Design, Figma"
WHMCS Integration and Security Needed,Hourly,N/A,Intermediate,"WHMCS Development, Web Development, PHP, cPanel"
Full Stack Developer (Nest.js + React.js) for REST API Development and AWS Deployment,Hourly: $15.00 - $30.00,N/A,Intermediate,"NestJS, Next.js, Docker, TypeScript, JavaScript, React, API, Node.js, Amazon Web Services, +1"
